device_type,device_name
ThermalStandard,115_STEAM_1
ThermalStandard,115_STEAM_2
ThermalStandard,315_STEAM_1
ThermalStandard,315_STEAM_2
ThermalStandard,315_STEAM_3
ThermalStandard,315_STEAM_4
ThermalStandard,315_STEAM_5
ThermalStandard,101_CT_1
ThermalStandard,101_CT_2
ThermalStandard,102_CT_1
ThermalStandard,102_CT_2
ThermalStandard,201_CT_1
ThermalStandard,201_CT_2
ThermalStandard,202_CT_1
ThermalStandard,202_CT_2
ThermalStandard,301_CT_1
ThermalStandard,301_CT_2
ThermalStandard,302_CT_1
ThermalStandard,302_CT_2
ThermalStandard,207_CT_1
ThermalStandard,307_CT_1
ThermalStandard,101_STEAM_4
ThermalStandard,123_STEAM_3
ThermalStandard,223_STEAM_1
ThermalStandard,223_STEAM_3
RenewableNonDispatch,308_RTPV_1
RenewableNonDispatch,313_RTPV_1
RenewableNonDispatch,313_RTPV_2
RenewableNonDispatch,313_RTPV_3
RenewableNonDispatch,313_RTPV_4
RenewableNonDispatch,313_RTPV_5
RenewableNonDispatch,313_RTPV_6
RenewableNonDispatch,313_RTPV_7
RenewableNonDispatch,313_RTPV_8
RenewableNonDispatch,313_RTPV_9
RenewableNonDispatch,313_RTPV_10
RenewableNonDispatch,313_RTPV_11
RenewableNonDispatch,313_RTPV_12
RenewableNonDispatch,320_RTPV_1
RenewableNonDispatch,320_RTPV_2
RenewableNonDispatch,320_RTPV_3
RenewableNonDispatch,313_RTPV_13
RenewableNonDispatch,320_RTPV_4
RenewableNonDispatch,320_RTPV_5
RenewableNonDispatch,118_RTPV_1
RenewableNonDispatch,118_RTPV_2
RenewableNonDispatch,118_RTPV_3
RenewableNonDispatch,118_RTPV_4
RenewableNonDispatch,118_RTPV_5
RenewableNonDispatch,118_RTPV_6
RenewableNonDispatch,320_RTPV_6
RenewableNonDispatch,118_RTPV_7
RenewableNonDispatch,118_RTPV_8
RenewableNonDispatch,118_RTPV_9
RenewableNonDispatch,118_RTPV_10
RenewableNonDispatch,213_RTPV_1
RenewableDispatch,309_WIND_1
RenewableDispatch,212_CSP_1
Generator,114_SYNC_COND_1
Generator,314_SYNC_COND_1
Generator,214_SYNC_COND_1
EnergyReservoirStorage,313_STORAGE_1
